"","species","island","bill_length_mm","flipper_length_mm","body_mass_g","sex","year"
"127","Adelie","Dream",36.8,193,3500,"female",2009
"128","Adelie","Dream",37.5,199,4475,"male",2009
"129","Adelie","Dream",38.1,187,3425,"female",2009
"130","Adelie","Dream",41.1,190,3900,"male",2009
"131","Adelie","Dream",35.6,191,3175,"female",2009
"132","Adelie","Dream",40.2,200,3975,"male",2009
"133","Adelie","Dream",37,185,3400,"female",2009
"134","Adelie","Dream",39.7,193,4250,"male",2009
"135","Adelie","Dream",40.2,193,3400,"female",2009
"136","Adelie","Dream",40.6,187,3475,"male",2009
"137","Adelie","Dream",32.1,188,3050,"female",2009
"138","Adelie","Dream",40.7,190,3725,"male",2009
"139","Adelie","Dream",37.3,192,3000,"female",2009
"140","Adelie","Dream",39,185,3650,"male",2009
"141","Adelie","Dream",39.2,190,4250,"male",2009
"142","Adelie","Dream",36.6,184,3475,"female",2009
"143","Adelie","Dream",36,195,3450,"female",2009
"144","Adelie","Dream",37.8,193,3750,"male",2009
"145","Adelie","Dream",36,187,3700,"female",2009
"146","Adelie","Dream",41.5,201,4000,"male",2009
"147","Gentoo","Biscoe",46.1,211,4500,"female",2007
"148","Gentoo","Biscoe",50,230,5700,"male",2007
"149","Gentoo","Biscoe",48.7,210,4450,"female",2007
"150","Gentoo","Biscoe",50,218,5700,"male",2007
"151","Gentoo","Biscoe",47.6,215,5400,"male",2007
"152","Gentoo","Biscoe",46.5,210,4550,"female",2007
"153","Gentoo","Biscoe",45.4,211,4800,"female",2007
"154","Gentoo","Biscoe",46.7,219,5200,"male",2007
"155","Gentoo","Biscoe",43.3,209,4400,"female",2007
"156","Gentoo","Biscoe",46.8,215,5150,"male",2007
"157","Gentoo","Biscoe",40.9,214,4650,"female",2007
"158","Gentoo","Biscoe",49,216,5550,"male",2007
"159","Gentoo","Biscoe",45.5,214,4650,"female",2007
"160","Gentoo","Biscoe",48.4,213,5850,"male",2007
"161","Gentoo","Biscoe",45.8,210,4200,"female",2007
"162","Gentoo","Biscoe",49.3,217,5850,"male",2007
"163","Gentoo","Biscoe",42,210,4150,"female",2007
"164","Gentoo","Biscoe",49.2,221,6300,"male",2007
"165","Gentoo","Biscoe",46.2,209,4800,"female",2007
"166","Gentoo","Biscoe",48.7,222,5350,"male",2007
"167","Gentoo","Biscoe",50.2,218,5700,"male",2007
"168","Gentoo","Biscoe",45.1,215,5000,"female",2007
"169","Gentoo","Biscoe",46.5,213,4400,"female",2007
"170","Gentoo","Biscoe",46.3,215,5050,"male",2007
"171","Gentoo","Biscoe",42.9,215,5000,"female",2007
"172","Gentoo","Biscoe",46.1,215,5100,"male",2007
"173","Gentoo","Biscoe",47.8,215,5650,"male",2007
"174","Gentoo","Biscoe",48.2,210,4600,"female",2007
"175","Gentoo","Biscoe",50,220,5550,"male",2007
"176","Gentoo","Biscoe",47.3,222,5250,"male",2007
"177","Gentoo","Biscoe",42.8,209,4700,"female",2007
"178","Gentoo","Biscoe",45.1,207,5050,"female",2007
"179","Gentoo","Biscoe",59.6,230,6050,"male",2007
"180","Gentoo","Biscoe",49.1,220,5150,"female",2008
"181","Gentoo","Biscoe",48.4,220,5400,"male",2008
"182","Gentoo","Biscoe",42.6,213,4950,"female",2008
"183","Gentoo","Biscoe",44.4,219,5250,"male",2008
"184","Gentoo","Biscoe",44,208,4350,"female",2008
"185","Gentoo","Biscoe",48.7,208,5350,"male",2008
"186","Gentoo","Biscoe",42.7,208,3950,"female",2008
"187","Gentoo","Biscoe",49.6,225,5700,"male",2008
"188","Gentoo","Biscoe",45.3,210,4300,"female",2008
"189","Gentoo","Biscoe",49.6,216,4750,"male",2008
"190","Gentoo","Biscoe",50.5,222,5550,"male",2008
"191","Gentoo","Biscoe",43.6,217,4900,"female",2008
"192","Gentoo","Biscoe",45.5,210,4200,"female",2008
"193","Gentoo","Biscoe",50.5,225,5400,"male",2008
"194","Gentoo","Biscoe",44.9,213,5100,"female",2008
"195","Gentoo","Biscoe",45.2,215,5300,"male",2008
"196","Gentoo","Biscoe",46.6,210,4850,"female",2008
"197","Gentoo","Biscoe",48.5,220,5300,"male",2008
"198","Gentoo","Biscoe",45.1,210,4400,"female",2008
"199","Gentoo","Biscoe",50.1,225,5000,"male",2008
"200","Gentoo","Biscoe",46.5,217,4900,"female",2008
"201","Gentoo","Biscoe",45,220,5050,"male",2008
"202","Gentoo","Biscoe",43.8,208,4300,"female",2008
"203","Gentoo","Biscoe",45.5,220,5000,"male",2008
"204","Gentoo","Biscoe",43.2,208,4450,"female",2008
"205","Gentoo","Biscoe",50.4,224,5550,"male",2008
"206","Gentoo","Biscoe",45.3,208,4200,"female",2008
"207","Gentoo","Biscoe",46.2,221,5300,"male",2008
"208","Gentoo","Biscoe",45.7,214,4400,"female",2008
"209","Gentoo","Biscoe",54.3,231,5650,"male",2008
"210","Gentoo","Biscoe",45.8,219,4700,"female",2008
"211","Gentoo","Biscoe",49.8,230,5700,"male",2008
"212","Gentoo","Biscoe",49.5,229,5800,"male",2008
"213","Gentoo","Biscoe",43.5,220,4700,"female",2008
"214","Gentoo","Biscoe",50.7,223,5550,"male",2008
"215","Gentoo","Biscoe",47.7,216,4750,"female",2008
"216","Gentoo","Biscoe",46.4,221,5000,"male",2008
"217","Gentoo","Biscoe",48.2,221,5100,"male",2008
"218","Gentoo","Biscoe",46.5,217,5200,"female",2008
"219","Gentoo","Biscoe",46.4,216,4700,"female",2008
"220","Gentoo","Biscoe",48.6,230,5800,"male",2008
"221","Gentoo","Biscoe",47.5,209,4600,"female",2008
"222","Gentoo","Biscoe",51.1,220,6000,"male",2008
"223","Gentoo","Biscoe",45.2,215,4750,"female",2008
"224","Gentoo","Biscoe",45.2,223,5950,"male",2008
"225","Gentoo","Biscoe",49.1,212,4625,"female",2009
"226","Gentoo","Biscoe",52.5,221,5450,"male",2009
"227","Gentoo","Biscoe",47.4,212,4725,"female",2009
"228","Gentoo","Biscoe",50,224,5350,"male",2009
"229","Gentoo","Biscoe",44.9,212,4750,"female",2009
"230","Gentoo","Biscoe",50.8,228,5600,"male",2009
"231","Gentoo","Biscoe",43.4,218,4600,"female",2009
"232","Gentoo","Biscoe",51.3,218,5300,"male",2009
"233","Gentoo","Biscoe",47.5,212,4875,"female",2009
"234","Gentoo","Biscoe",52.1,230,5550,"male",2009
"235","Gentoo","Biscoe",47.5,218,4950,"female",2009
"236","Gentoo","Biscoe",52.2,228,5400,"male",2009
"237","Gentoo","Biscoe",45.5,212,4750,"female",2009
"238","Gentoo","Biscoe",49.5,224,5650,"male",2009
"239","Gentoo","Biscoe",44.5,214,4850,"female",2009
"240","Gentoo","Biscoe",50.8,226,5200,"male",2009
"241","Gentoo","Biscoe",49.4,216,4925,"male",2009
"242","Gentoo","Biscoe",46.9,222,4875,"female",2009
"243","Gentoo","Biscoe",48.4,203,4625,"female",2009
"244","Gentoo","Biscoe",51.1,225,5250,"male",2009
"245","Gentoo","Biscoe",48.5,219,4850,"female",2009
"246","Gentoo","Biscoe",55.9,228,5600,"male",2009
"247","Gentoo","Biscoe",47.2,215,4975,"female",2009
"248","Gentoo","Biscoe",49.1,228,5500,"male",2009
"249","Gentoo","Biscoe",46.8,215,5500,"male",2009
"250","Gentoo","Biscoe",41.7,210,4700,"female",2009
"251","Gentoo","Biscoe",53.4,219,5500,"male",2009
"252","Gentoo","Biscoe",43.3,208,4575,"female",2009
"253","Gentoo","Biscoe",48.1,209,5500,"male",2009
"254","Gentoo","Biscoe",50.5,216,5000,"female",2009
"255","Gentoo","Biscoe",49.8,229,5950,"male",2009
"256","Gentoo","Biscoe",43.5,213,4650,"female",2009
"257","Gentoo","Biscoe",51.5,230,5500,"male",2009
"258","Gentoo","Biscoe",46.2,217,4375,"female",2009
"259","Gentoo","Biscoe",55.1,230,5850,"male",2009
"260","Gentoo","Biscoe",48.8,222,6000,"male",2009
"261","Gentoo","Biscoe",47.2,214,4925,"female",2009
"262","Gentoo","Biscoe",46.8,215,4850,"female",2009
"263","Gentoo","Biscoe",50.4,222,5750,"male",2009
"264","Gentoo","Biscoe",45.2,212,5200,"female",2009
"265","Gentoo","Biscoe",49.9,213,5400,"male",2009
"266","Chinstrap","Dream",46.5,192,3500,"female",2007
"267","Chinstrap","Dream",50,196,3900,"male",2007
"268","Chinstrap","Dream",51.3,193,3650,"male",2007
"269","Chinstrap","Dream",45.4,188,3525,"female",2007
"270","Chinstrap","Dream",52.7,197,3725,"male",2007
"271","Chinstrap","Dream",45.2,198,3950,"female",2007
"272","Chinstrap","Dream",46.1,178,3250,"female",2007
"273","Chinstrap","Dream",51.3,197,3750,"male",2007
"274","Chinstrap","Dream",46,195,4150,"female",2007
"275","Chinstrap","Dream",51.3,198,3700,"male",2007
"276","Chinstrap","Dream",46.6,193,3800,"female",2007
"277","Chinstrap","Dream",51.7,194,3775,"male",2007
"278","Chinstrap","Dream",47,185,3700,"female",2007
"279","Chinstrap","Dream",52,201,4050,"male",2007
"280","Chinstrap","Dream",45.9,190,3575,"female",2007
"281","Chinstrap","Dream",50.5,201,4050,"male",2007
"282","Chinstrap","Dream",50.3,197,3300,"male",2007
"283","Chinstrap","Dream",58,181,3700,"female",2007
"284","Chinstrap","Dream",46.4,190,3450,"female",2007
"285","Chinstrap","Dream",49.2,195,4400,"male",2007
"286","Chinstrap","Dream",42.4,181,3600,"female",2007
"287","Chinstrap","Dream",48.5,191,3400,"male",2007
"288","Chinstrap","Dream",43.2,187,2900,"female",2007
"289","Chinstrap","Dream",50.6,193,3800,"male",2007
"290","Chinstrap","Dream",46.7,195,3300,"female",2007
"291","Chinstrap","Dream",52,197,4150,"male",2007
"292","Chinstrap","Dream",50.5,200,3400,"female",2008
"293","Chinstrap","Dream",49.5,200,3800,"male",2008
"294","Chinstrap","Dream",46.4,191,3700,"female",2008
"295","Chinstrap","Dream",52.8,205,4550,"male",2008
"296","Chinstrap","Dream",40.9,187,3200,"female",2008
"297","Chinstrap","Dream",54.2,201,4300,"male",2008
"298","Chinstrap","Dream",42.5,187,3350,"female",2008
"299","Chinstrap","Dream",51,203,4100,"male",2008
"300","Chinstrap","Dream",49.7,195,3600,"male",2008
"301","Chinstrap","Dream",47.5,199,3900,"female",2008
"302","Chinstrap","Dream",47.6,195,3850,"female",2008
"303","Chinstrap","Dream",52,210,4800,"male",2008
"304","Chinstrap","Dream",46.9,192,2700,"female",2008
"305","Chinstrap","Dream",53.5,205,4500,"male",2008
"306","Chinstrap","Dream",49,210,3950,"male",2008
"307","Chinstrap","Dream",46.2,187,3650,"female",2008
"308","Chinstrap","Dream",50.9,196,3550,"male",2008
"309","Chinstrap","Dream",45.5,196,3500,"female",2008
"310","Chinstrap","Dream",50.9,196,3675,"female",2009
"311","Chinstrap","Dream",50.8,201,4450,"male",2009
"312","Chinstrap","Dream",50.1,190,3400,"female",2009
"313","Chinstrap","Dream",49,212,4300,"male",2009
"314","Chinstrap","Dream",51.5,187,3250,"male",2009
"315","Chinstrap","Dream",49.8,198,3675,"female",2009
"316","Chinstrap","Dream",48.1,199,3325,"female",2009
"317","Chinstrap","Dream",51.4,201,3950,"male",2009
"318","Chinstrap","Dream",45.7,193,3600,"female",2009
"319","Chinstrap","Dream",50.7,203,4050,"male",2009
"320","Chinstrap","Dream",42.5,187,3350,"female",2009
"321","Chinstrap","Dream",52.2,197,3450,"male",2009
"322","Chinstrap","Dream",45.2,191,3250,"female",2009
"323","Chinstrap","Dream",49.3,203,4050,"male",2009
"324","Chinstrap","Dream",50.2,202,3800,"male",2009
"325","Chinstrap","Dream",45.6,194,3525,"female",2009
"326","Chinstrap","Dream",51.9,206,3950,"male",2009
"327","Chinstrap","Dream",46.8,189,3650,"female",2009
"328","Chinstrap","Dream",45.7,195,3650,"female",2009
"329","Chinstrap","Dream",55.8,207,4000,"male",2009
"330","Chinstrap","Dream",43.5,202,3400,"female",2009
"331","Chinstrap","Dream",49.6,193,3775,"male",2009
"332","Chinstrap","Dream",50.8,210,4100,"male",2009
"333","Chinstrap","Dream",50.2,198,3775,"female",2009
